Datum,Projekt,Kategorie,Tätigkeit,Stunden,Bemerkungen
06.09.2025,VPN Dashboard,Frontend-Entwicklung,Implementierung von GPS-Telemetrie und Live-Status-Anzeige,,
07.09.2025,VPN Dashboard,Frontend-Entwicklung,Entwicklung einer neuen DroneMapPage,,
07.09.2025,VPN Dashboard,Frontend-Entwicklung,Integration mit dem Healthcheck-Service über GPS und erweiterte Status-API-Endpunkte,,
07.09.2025,VPN Dashboard,Backend/Infrastructure,Verbesserung der Authentifizierungsprotokollierung,,
10.09.2025,VPN Dashboard,Frontend-Entwicklung,Implementierung von Drone Monitor App Download-Feature und FCM-Integration,,
11.09.2025,VPN Dashboard,Frontend-Entwicklung,Aktualisierung von keycloak-js auf Version 26,,
11.09.2025,VPN Dashboard,Frontend-Entwicklung,Bereinigung und Aktualisierung von .gitignore,,
11.09.2025,VPN Dashboard,Frontend-Entwicklung,Wiederherstellung des Dockerfiles für die Staging-Umgebung,,
14.09.2025,VPN Dashboard,Frontend-Entwicklung,Aktualisierung der Jedsy Drone App APK mit Firebase-Berechtigungen,,
25.09.2025,VPN Dashboard,Frontend-Entwicklung,Erstellung eines download_logs.sh-Skripts für die Protokollabfrage von Kubernetes-Pods,,
02.09.2025,VPN Dashboard,Backend/Infrastructure,Anzeige von Architekturinformationen in der VPN-Endpunkttabelle,,
25.09.2025,Nebula VPN PKI,Konfiguration und Umgebung,Entfernung hartcodierter Keycloak-URLs,,
25.09.2025,Nebula VPN PKI,Konfiguration und Umgebung,Hinzufügen von umgebungsspezifischer Keycloak-Konfigurationsunterstützung,,
26.09.2025,Nebula VPN PKI,Konfiguration und Umgebung,Standardisierung der Keycloak-Konfiguration und Entfernung von ungenutztem secret_key,,
26.09.2025,Nebula VPN PKI,PKI-Verbesserungen,Korrektur von Datenbankinitialisierungsproblemen,,
26.09.2025,Nebula VPN PKI,PKI-Verbesserungen,Verbesserung der Alembic-Migrationskonfiguration,,
26.09.2025,Nebula VPN PKI,PKI-Verbesserungen,Ersetzung hartcodierter Client-IDs durch standardisierte Konfiguration,,
27.09.2025,Nebula VPN PKI,PKI-Verbesserungen,Hinzufügen umfassender Qualitätsprüfungen zum Makefile und CI/CD,,
29.09.2025,Nebula VPN PKI,PKI-Verbesserungen,Hinzufügen eines dynamischen CLIENT_ID-Konfigurationssystems,,
03.09.2025,Nebula Healthcheck Service,GPS-Telemetrie,Hinzufügen von GPS-API-Handlern für Track- und Positionsendpunkte,,
04.09.2025,Nebula Healthcheck Service,GPS-Telemetrie,Implementierung eines kompakten /gps API-Endpunkts für alle aktuellen GPS-Positionen,,
05.09.2025,Nebula Healthcheck Service,GPS-Telemetrie,Implementierung der GPS-Telemetrie in die dedizierte GPS-Tabelle,,
06.09.2025,Nebula Healthcheck Service,GPS-Telemetrie,Implementierung von GPS-Telemetrie-API und Verbesserung des Datenbankschemas,,
11.09.2025,Nebula Healthcheck Service,FCM-Integration,Hinzufügen der Firebase Cloud Messaging (FCM)-Integration,,
12.09.2025,Nebula Healthcheck Service,FCM-Integration,Verbesserung der FCM-Fehlerbehebung mit detaillierter Private-Key-Analyse,,
13.09.2025,Nebula Healthcheck Service,FCM-Integration,Verbesserung von FCM mit expliziter device_id-Behandlung für Deep Linking,,
14.09.2025,Nebula Healthcheck Service,FCM-Integration,Optimierung des FCM-Services,,
15.09.2025,Nebula Healthcheck Service,FCM-Integration,Implementierung eines konfigurierbaren Alarmsystems mit FCM-Integration,,
02.09.2025,Nebula Healthcheck Service,Healthcheck-Optimierungen,Hinzufügen des Architektur-Felds zum API-Response,,
05.09.2025,Nebula Healthcheck Service,Healthcheck-Optimierungen,Behebung der GPS-Telemetrieverarbeitung und Übersetzung aller Protokollnachrichten ins Englische,,
07.09.2025,Nebula Healthcheck Service,Healthcheck-Optimierungen,Behebung der Handhabung von string-formatierten float-Werten in der GPS-Telemetrieverarbeitung,,
15.09.2025,Nebula Healthcheck Service,Healthcheck-Optimierungen,Optimierung der Flugsimulatorparameter für Batteriewarntests,,
16.09.2025,Nebula Healthcheck Service,Healthcheck-Optimierungen,Implementierung eines verbesserten Geräte-Caches mit Leistungskennzahlen,,
26.09.2025,Nebula Healthcheck Service,Healthcheck-Optimierungen,Entfernung der .env-Abhängigkeit und hartcodierter Standardwerte,,
17.09.2025,Monitor Service,Setup und Konfiguration,Reorganisation der Drohnentelemetriedateien in strukturierte Verzeichnisse,,
18.09.2025,Monitor Service,Setup und Konfiguration,Hinzufügen einer Standard-Jetson-Telemetry-Bridge-Konfiguration für die Bereitstellung auf dem Jetson,,
18.09.2025,Monitor Service,Setup und Konfiguration,Hinzufügen eines jetson_telemetry_bridge-Systemdienstes für die Bereitstellung auf dem Jetson,,
18.09.2025,Monitor Service,Setup und Konfiguration,Anpassung des Jetson-Telemetrie-Bridges für UDP-Verbindungen,,
19.09.2025,Monitor Service,Setup und Konfiguration,Aktualisierung der Monitoring-Architekturdiagramme für neuen Kommunikationsfluss,,
19.09.2025,Monitor Service,CI/CD und Deployment,Behebung der CI-Pipeline und Entfernung von Graylog-Abhängigkeiten,,
19.09.2025,Monitor Service,CI/CD und Deployment,Aktualisierung veralteter GitHub Actions und Hinzufügen von Mermaid CLI,,
19.09.2025,Monitor Service,CI/CD und Deployment,Hinzufügen automatisierter Codeformatierung und Qualitätswerkzeuge,,
19.09.2025,Monitor Service,CI/CD und Deployment,Behebung von SQLAlchemy-reservierten Schlüsselwortkonflikten,,
19.09.2025,Monitor Service,CI/CD und Deployment,Hinzufügen von package.yml für Docker-Build und zukünftige Bereitstellung,,
19.09.2025,Monitor Service,CI/CD und Deployment,Vervollständigung der Build- und Test-AWS-Konfiguration,,
21.09.2025,Monitor Service,CI/CD und Deployment,Aktivierung der AWS-Bereitstellung für monitor-service,,
25.09.2025,Monitor Service,CI/CD und Deployment,Hinzufügen fehlender HTTP-Client- und Systemüberwachungsabhängigkeiten,,
19.09.2025,Infrastructure as Code (IAC),Konfiguration und Management,Hinzufügen des monitor-service zur Mikroservice-Konfiguration,,
19.09.2025,Infrastructure as Code (IAC),Konfiguration und Management,Aktualisierung der monitor-service-Konfiguration nach manuellen Bearbeitungen,,
21.09.2025,Infrastructure as Code (IAC),Konfiguration und Management,Hinzufügen von monitor-service zur IAC-Konfiguration,,
18.09.2025,Infrastructure as Code (IAC),Konfiguration und Management,Hinzufügen einer öffentlichen Website-Bereitstellung,,
26.09.2025,Infrastructure as Code (IAC),Konfiguration und Management,Standardisierung der Keycloak-Client-Konfiguration für alle Mikroservices,,
07.09.2025,Infrastructure as Code (IAC),IAC-Verbesserungen,Entfernung der Keycloak-Client-Erstellung für nebula-healthcheck-service um Duplizierung zu vermeiden,,
07.09.2025,Infrastructure as Code (IAC),IAC-Verbesserungen,Korrektur des Client-Secrets für VPN-Dashboard,,
26.09.2025,Infrastructure as Code (IAC),IAC-Verbesserungen,Behebung der Bereitstellungsreihenfolge in deploy.sh,,
25.09.2025,Infrastructure as Code (IAC),IAC-Verbesserungen,Behebung der Mikrodienst-Instanziierung um alle konfigurierten Dienste einzuschließen,,
